고객상황,검색표현,월검색량,경쟁도,등록상태
말 꺼내기 어려움,사직서제출시기,180,중간,상담그룹
말 꺼내기 어려움,퇴사시기,100,중간,상담그룹
말 꺼내기 어려움,퇴사말하기,90,중간,상담그룹
말 꺼내기 어려움,퇴사결심,60,중간,상담그룹
말 꺼내기 어려움,퇴사통보시기,40,높음,상담그룹
말 꺼내기 어려움,퇴사얘기,30,중간,상담그룹
말 꺼내기 어려움,퇴사한달전,30,중간,상담그룹
사정별 퇴사,육아휴직후퇴사,1480,높음,상담그룹
사정별 퇴사,질병퇴사,130,높음,상담그룹
사정별 퇴사,임신퇴사,100,중간,상담그룹
사정별 퇴사,건강상퇴사,40,낮음,상담그룹
실업급여 연결,실업급여조건,123500,높음,미등록(입찰가 초과)
실업급여 연결,실업급여신청,98400,중간,도구그룹
실업급여 연결,자진퇴사실업급여,4230,높음,상담그룹
실업급여 연결,계약만료실업급여,2860,높음,상담그룹
실업급여 연결,퇴사후실업급여,930,높음,도구그룹
실업급여 연결,이직사유,840,높음,상담그룹
실업급여 연결,이직확인서정정,140,중간,도구그룹
안 보고 그만두고 싶음,당일퇴사,750,중간,상담그룹
안 보고 그만두고 싶음,무단퇴사,590,높음,상담그룹
안 보고 그만두고 싶음,퇴사대행,100,중간,상담그룹
안 보고 그만두고 싶음,잠수퇴사,90,낮음,상담그룹
안 보고 그만두고 싶음,퇴직대행,90,높음,상담그룹
안 보고 그만두고 싶음,퇴사문자통보,70,중간,상담그룹
안 보고 그만두고 싶음,카톡퇴사통보,50,낮음,상담그룹
안 보고 그만두고 싶음,퇴사통보문자,50,낮음,상담그룹
업종·직군,학원강사퇴사,50,높음,상담그룹
업종·직군,생산직퇴사,40,중간,상담그룹
업종·직군,중소기업퇴사,30,높음,상담그룹
업종·직군,콜센터퇴사,30,낮음,상담그룹
절차 실무,사직서양식,26260,중간,도구그룹
절차 실무,경력증명서,18070,높음,도구그룹
절차 실무,퇴직증명서,4780,중간,도구그룹
절차 실무,인수인계서,1510,중간,도구그룹
절차 실무,퇴사서류,1130,높음,도구그룹
절차 실무,사직원,860,낮음,도구그룹
절차 실무,퇴사확인서,850,높음,도구그룹
절차 실무,퇴사인사,640,높음,상담그룹
절차 실무,퇴사절차,360,높음,도구그룹
절차 실무,4대보험상실,200,높음,상담그룹
절차 실무,퇴사후서류,50,높음,도구그룹
협박·불이익 당함,권고사직거부,620,높음,상담그룹
협박·불이익 당함,무단퇴사손해배상,270,높음,상담그룹
협박·불이익 당함,퇴사종용,90,낮음,상담그룹
협박·불이익 당함,퇴사후연락,50,중간,상담그룹
협박·불이익 당함,퇴사압박,40,높음,상담그룹
협박·불이익 당함,퇴사강요,30,높음,상담그룹
협박·불이익 당함,퇴사손해배상,30,중간,상담그룹
회사가 안 놔줌,사직서반려,250,중간,상담그룹
회사가 안 놔줌,사직서수리거부,140,중간,상담그룹
회사가 안 놔줌,퇴사거부,110,높음,상담그룹
회사가 안 놔줌,퇴사반려,90,중간,상담그룹
회사가 안 놔줌,인수인계안하고퇴사,60,낮음,상담그룹
회사가 안 놔줌,퇴사거절,30,높음,상담그룹
회사와 다툼,노동청신고,12910,높음,미등록(입찰가 초과)
회사와 다툼,부당대우,100,중간,상담그룹
회사와 다툼,회사고발,30,높음,상담그룹
